RM,LSTAT,PTRATIO,MEDV,PricePerRoom
6.417,6.72,19.2,508200.0,79195.88592800374
5.961,9.88,19.2,455700.0,76446.90488173124
6.065,5.52,19.2,478800.0,78944.76504534212
6.245,7.54,19.2,491400.0,78686.94955964772
6.273,6.78,18.7,506100.0,80679.10090865615
6.286,8.94,18.7,449400.0,71492.2048997773
6.279,11.97,18.7,420000.0,66889.63210702341
6.14,10.27,18.7,436800.0,71140.06514657981
6.232,12.34,18.7,445200.0,71437.7406931964
5.874,9.1,18.7,426300.0,72574.05515832483
6.727,5.29,19.0,588000.0,87408.9490114464
6.619,7.22,19.0,501900.0,75827.16422420305
6.302,6.72,19.0,520800.0,82640.43160901302
6.167,7.51,19.0,480900.0,77979.56867196369
6.389,9.62,18.5,501900.0,78556.89466270151
6.63,6.53,18.5,558600.0,84253.39366515838
6.015,12.86,18.5,472500.0,78553.61596009975
6.121,8.44,18.5,466200.0,76164.02548603169
7.007,5.5,17.8,495600.0,70729.27072927073
7.079,5.7,17.8,602700.0,85139.14394688516
6.417,8.81,17.8,474600.0,73959.79429640018
6.405,8.2,17.8,462000.0,72131.1475409836
6.442,8.16,18.2,480900.0,74650.72958708476
6.211,6.21,18.2,525000.0,84527.45129608759
6.249,10.59,18.2,432600.0,69227.07633221315
6.625,6.65,18.0,596400.0,90022.64150943396
6.163,11.34,18.0,449400.0,72919.03293850397
7.416,6.19,18.0,697200.0,94012.94498381877
6.727,9.42,20.9,577500.0,85848.07492195629
6.781,7.67,20.9,556500.0,82067.54166052205
6.405,10.63,20.9,390600.0,60983.60655737705
6.137,13.44,20.9,405300.0,66042.04008473195
6.167,12.33,20.9,422100.0,68444.94892167991
5.851,16.47,20.9,409500.0,69988.03623312255
5.836,18.66,20.9,409500.0,70167.92323509253
6.127,14.09,20.9,428400.0,69920.02611392198
6.474,12.27,20.9,415800.0,64226.13531047266
6.229,15.55,20.9,407400.0,65403.75662225076
6.195,13.0,20.9,455700.0,73559.32203389831
6.715,10.16,17.8,478800.0,71303.0528667163
5.913,16.21,17.8,394800.0,66768.13800101471
6.092,17.09,17.8,392700.0,64461.58896913986
6.254,10.45,17.8,388500.0,62120.243044451556
5.928,15.76,17.8,384300.0,64827.935222672066
6.176,12.04,17.8,445200.0,72085.49222797927
6.021,10.3,17.8,403200.0,66965.62032884904
5.872,15.37,17.8,428400.0,72956.40326975477
5.731,13.61,17.8,405300.0,70720.64212179376
5.87,14.37,19.1,462000.0,78705.2810902896
6.004,14.27,19.1,426300.0,71002.66489007328
5.961,17.93,19.1,430500.0,72219.42627075994
5.856,25.41,19.1,363300.0,62038.93442622951
5.879,17.58,19.1,394800.0,67154.2779384249
5.986,14.81,19.1,449400.0,75075.17540928835
5.613,27.26,19.1,329700.0,58738.642437199356
5.693,17.19,21.2,340200.0,59757.597049007556
6.431,15.39,21.2,378000.0,58777.795055201364
5.637,18.34,21.2,300300.0,53273.01756253326
6.458,12.6,21.2,403200.0,62434.19015174977
6.326,12.26,21.2,411600.0,65064.81188744863
6.372,11.12,21.2,483000.0,75800.37664783427
5.822,15.03,21.2,386400.0,66368.94537959465
5.757,17.31,21.2,327600.0,56904.63783220427
6.335,16.96,21.2,380100.0,60000.0
5.942,16.9,21.2,365400.0,61494.44631437226
6.454,14.59,21.2,359100.0,55639.913232104125
5.857,21.32,21.2,279300.0,47686.52893973023
6.151,18.46,21.2,373800.0,60770.60640546253
6.174,24.16,21.2,294000.0,47619.04761904762
5.019,34.41,21.2,302400.0,60251.0460251046
5.403,26.82,14.7,281400.0,52082.17656857302
5.468,26.42,14.7,327600.0,59912.21653255304
4.903,29.29,14.7,247800.0,50540.48541709158
6.13,27.8,14.7,289800.0,47275.693311582385
5.628,16.65,14.7,327600.0,58208.9552238806
4.926,29.53,14.7,306600.0,62241.169305724725
5.186,28.32,14.7,373800.0,72078.67335133051
5.597,21.45,14.7,323400.0,57780.95408254422
6.122,14.1,14.7,451500.0,73750.40836327997
5.404,13.28,14.7,411600.0,76165.8031088083
5.012,12.12,14.7,321300.0,64106.14525139665
5.709,15.79,14.7,407400.0,71361.00893326328
6.129,15.12,14.7,357000.0,58247.6749877631
6.152,15.02,14.7,327600.0,53250.97529258778
5.272,16.14,14.7,275100.0,52181.33535660091
6.943,4.59,14.7,867300.0,124917.182774017
6.066,6.43,14.7,510300.0,84124.6290801187
6.51,7.39,14.7,489300.0,75161.29032258065
6.25,5.5,14.7,567000.0,90720.0
5.854,11.64,14.7,476700.0,81431.49982917662
6.101,9.81,14.7,525000.0,86051.46697262744
5.877,12.14,14.7,499800.0,85043.38948443084
6.319,11.1,14.7,499800.0,79094.79347998102
6.402,11.32,14.7,468300.0,73149.01593252108
5.875,14.43,14.7,365400.0,62195.744680851065
5.88,12.03,14.7,401100.0,68214.28571428571
5.572,14.69,16.6,485100.0,87060.30150753769
6.416,9.04,16.6,495600.0,77244.38902743142
5.859,9.64,16.6,474600.0,81003.58422939068
6.546,5.33,16.6,617400.0,94317.14023831347
6.02,10.11,16.6,487200.0,80930.23255813954
6.315,6.29,16.6,516600.0,81805.22565320664
6.86,6.92,16.6,627900.0,91530.61224489796
6.98,5.04,17.8,781200.0,111919.77077363896
6.144,9.45,17.8,760200.0,123730.46875
7.155,4.82,17.8,795900.0,111236.89727463311
6.563,5.68,17.8,682500.0,103992.07679414902
5.604,13.98,17.8,554400.0,98929.33618843684
6.153,13.15,17.8,621600.0,101023.89078498294
6.782,6.68,15.2,672000.0,99085.81539368918
6.556,4.56,15.2,625800.0,95454.54545454546
7.185,5.39,15.2,732900.0,102004.17536534448
6.951,5.1,15.2,777000.0,111782.47734138973
6.739,4.69,15.2,640500.0,95043.77504080725
7.178,2.87,15.2,764400.0,106492.05906937865
6.8,5.03,15.6,653100.0,96044.11764705883
6.604,4.38,15.6,611100.0,92534.82737734706
7.287,4.08,12.6,699300.0,95965.41786743516
7.107,8.61,12.6,636300.0,89531.44786829886
7.274,6.62,12.6,726600.0,99890.01924663184
6.975,4.56,17.0,732900.0,105075.26881720431
7.135,4.45,17.0,690900.0,96832.51576734408
6.162,7.43,14.7,506100.0,82132.42453748782
7.61,3.11,14.7,888300.0,116727.98948751642
5.891,10.87,18.6,474600.0,80563.57154982176
6.326,10.97,18.6,512400.0,80999.05153335442
5.783,18.06,18.6,472500.0,81704.99740619055
6.064,14.66,18.6,512400.0,84498.68073878628
5.344,23.09,18.6,420000.0,78592.81437125748
5.96,17.27,18.6,455700.0,76459.73154362416
5.404,23.98,18.6,405300.0,75000.0
5.807,16.03,18.6,470400.0,81005.68279662475
6.375,9.38,18.6,590100.0,92564.70588235294
6.182,9.47,18.6,525000.0,84923.9728243287
5.888,13.51,16.4,489300.0,83101.22282608696
6.642,9.69,16.4,602700.0,90740.74074074073
5.951,17.92,16.4,451500.0,75869.60174760545
6.373,10.5,16.4,483000.0,75788.48266122706
6.951,9.71,17.4,560700.0,80664.65256797583
6.164,21.46,17.4,455700.0,73929.26670992862
6.879,9.93,17.4,577500.0,83951.15569123419
6.618,7.6,17.4,632100.0,95512.2393472348
7.163,6.36,17.4,663600.0,92642.74745218483
6.552,3.76,17.4,661500.0,100961.53846153847
5.981,11.65,17.4,510300.0,85320.18057181074
7.412,5.25,17.4,665700.0,89813.81543443065
6.726,8.05,17.4,609000.0,90544.15700267618
6.086,10.88,17.4,504000.0,82813.01347354584
6.631,9.54,17.4,527100.0,79490.27296033781
7.358,4.73,17.4,661500.0,89902.14732264202
6.481,6.36,16.6,497700.0,76793.70467520444
6.606,7.37,16.6,489300.0,74069.02815622161
6.897,11.38,16.6,462000.0,66985.64593301436
6.095,12.4,16.6,422100.0,69253.48646431502
6.358,11.22,16.6,466200.0,73324.94495124253
6.393,5.19,16.6,497700.0,77850.77428437353
5.593,12.5,19.1,369600.0,66082.60325406758
5.605,18.46,19.1,388500.0,69313.11329170383
6.108,9.16,19.1,510300.0,83546.16895874264
6.226,10.15,19.1,430500.0,69145.5187921619
6.433,9.52,19.1,514500.0,79978.23721436344
6.718,6.56,19.1,550200.0,81899.37481393272
6.487,5.9,19.1,512400.0,78988.74672421766
6.438,3.59,19.1,520800.0,80894.68779123951
6.957,3.53,19.1,621600.0,89348.85726606296
6.108,6.57,16.4,459900.0,75294.69548133596
5.876,9.25,16.4,438900.0,74693.6691626957
7.454,3.11,15.9,924000.0,123960.28977730079
7.333,7.79,13.0,756000.0,103095.59525432975
6.842,6.9,13.0,632100.0,92385.26746565332
7.203,9.59,13.0,709800.0,98542.27405247813
7.52,7.26,13.0,905100.0,120359.0425531915
7.327,11.25,13.0,651000.0,88849.46089804832
7.206,8.1,13.0,766500.0,106369.69192339716
5.56,10.45,13.0,478800.0,86115.10791366907
7.014,14.79,13.0,644700.0,91916.16766467066
7.47,3.16,13.0,913500.0,122289.15662650602
5.92,13.65,18.6,434700.0,73429.05405405405
5.856,13.0,18.6,443100.0,75665.98360655738
6.24,6.59,18.6,529200.0,84807.6923076923
6.538,7.73,18.6,512400.0,78372.59100642399
6.758,3.53,17.6,680400.0,100680.67475584493
6.854,2.98,17.6,672000.0,98044.93726291216
7.267,6.05,17.6,697200.0,95940.55318563367
6.826,4.16,17.6,695100.0,101831.23351889834
6.482,7.19,17.6,611100.0,94276.45788336932
6.812,4.85,14.9,737100.0,108206.106870229
6.968,4.59,14.9,743400.0,106687.71526980482
7.088,7.85,15.3,676200.0,95400.67720090294
6.453,8.23,15.3,462000.0,71594.6071594607
6.23,12.93,18.2,422100.0,67752.80898876404
6.209,7.14,16.6,487200.0,78466.74182638107
6.315,7.6,16.6,468300.0,74156.76959619952
6.565,9.51,16.6,520800.0,79329.77913175932
6.861,3.33,19.2,598500.0,87232.18189768256
7.148,3.56,19.2,783300.0,109583.10016787914
6.63,4.7,19.2,585900.0,88371.0407239819
6.127,8.58,16.0,501900.0,81916.10902562429
6.009,10.4,16.0,455700.0,75836.24563155267
6.678,6.27,16.0,600600.0,89937.10691823899
6.549,7.39,16.0,569100.0,86898.76316994961
5.79,15.84,16.0,426300.0,73626.94300518134
6.345,4.97,14.8,472500.0,74468.08510638298
7.041,4.74,14.8,609000.0,86493.39582445675
6.871,6.07,14.8,520800.0,75796.82724494251
6.59,9.5,16.1,462000.0,70106.2215477997
6.495,8.67,16.1,554400.0,85357.96766743649
6.982,4.86,16.1,695100.0,99556.00114580349
7.236,6.93,18.4,758100.0,104767.82752902157
6.616,8.93,18.4,596400.0,90145.10278113664
7.42,6.47,18.4,701400.0,94528.30188679245
6.849,7.53,18.4,592200.0,86465.17739816032
6.635,4.54,18.4,478800.0,72162.77317256971
5.972,9.97,18.4,426300.0,71383.12123241795
4.973,12.64,18.4,338100.0,67987.13050472552
6.122,5.98,18.4,464100.0,75808.55929434825
6.023,11.72,18.4,407400.0,67640.7106093309
6.266,7.9,18.4,453600.0,72390.67985955953
6.567,9.28,18.4,499800.0,76107.81178620375
5.705,11.5,18.4,340200.0,59631.9018404908
5.914,18.33,18.4,373800.0,63205.95197835645
5.782,15.94,18.4,415800.0,71912.83292978209
6.382,10.36,18.4,485100.0,76010.65496709496
6.113,12.73,18.4,441000.0,72141.33813185015
6.426,7.2,19.6,499800.0,77777.77777777778
6.376,6.87,19.6,485100.0,76082.18318695106
6.041,7.7,19.6,428400.0,70915.4113557358
5.708,11.74,19.6,388500.0,68062.368605466
6.415,6.12,19.6,525000.0,81839.43881527669
6.431,5.08,19.6,516600.0,80329.65324210854
6.312,6.15,19.6,483000.0,76520.91254752851
6.083,12.79,19.6,466200.0,76639.8158803222
5.868,9.97,16.9,405300.0,69069.52965235173
6.333,7.34,16.9,474600.0,74940.7863571767
6.144,9.09,16.9,415800.0,67675.78125
5.706,12.43,16.9,359100.0,62933.75394321766
6.031,7.83,16.9,407400.0,67550.98656939148
6.316,5.68,20.2,466200.0,73812.53958201394
6.31,6.75,20.2,434700.0,68890.64976228209
6.037,8.01,20.2,443100.0,73397.38280602949
5.869,9.8,20.2,409500.0,69773.38558527858
5.895,10.56,20.2,388500.0,65903.30788804071
6.059,8.51,20.2,432600.0,71397.92044891896
5.985,9.74,20.2,399000.0,66666.66666666666
5.968,9.29,20.2,392700.0,65800.9383378016
7.241,5.49,15.5,686700.0,94834.96754591908
6.54,8.65,15.9,346500.0,52981.65137614679
6.696,7.18,17.6,501900.0,74955.1971326165
6.874,4.61,17.6,655200.0,95315.68228105907
6.014,10.53,18.8,367500.0,61107.41602926505
5.898,12.67,18.8,361200.0,61241.0986775178
6.516,6.36,17.9,485100.0,74447.51381215469
6.635,5.99,17.0,514500.0,77543.33082140166
6.939,5.89,19.7,558600.0,80501.51318633808
6.49,5.98,19.7,480900.0,74098.61325115562
6.579,5.49,18.3,506100.0,76926.5845873233
5.884,7.79,18.3,390600.0,66383.41264445955
6.728,4.5,17.0,632100.0,93950.65398335316
5.663,8.05,22.0,382200.0,67490.72929542646
5.936,5.57,22.0,432600.0,72877.35849056604
6.212,17.6,20.2,373800.0,60173.85705086929
6.395,13.27,20.2,455700.0,71258.7959343237
6.127,11.48,20.2,476700.0,77803.16631304064
6.112,12.67,20.2,474600.0,77650.52356020942
6.398,7.79,20.2,525000.0,82056.89277899344
6.251,14.19,20.2,417900.0,66853.30347144457
5.362,10.19,20.2,436800.0,81462.1409921671
5.803,14.64,20.2,352800.0,60796.13992762364
4.963,14.0,20.2,459900.0,92665.72637517631
4.906,34.77,20.2,289800.0,59070.52588666939
7.313,13.44,20.2,315000.0,43073.97784766854
6.649,23.24,20.2,291900.0,43901.33854714995
6.794,21.24,20.2,279300.0,41109.802767147485
6.38,23.69,20.2,275100.0,43119.12225705329
6.223,21.78,20.2,214200.0,34420.6974128234
6.968,17.21,20.2,218400.0,31343.283582089553
6.545,21.08,20.2,228900.0,34973.262032085564
5.536,23.6,20.2,237300.0,42864.884393063585
5.52,24.56,20.2,258300.0,46793.47826086957
5.277,30.81,20.2,151200.0,28652.643547470154
5.0,31.99,20.2,155400.0,31080.0
4.88,30.62,20.2,214200.0,43893.44262295082
5.39,20.85,20.2,241500.0,44805.194805194806
5.713,17.11,20.2,317100.0,55504.98862244005
6.051,18.76,20.2,487200.0,80515.61725334656
5.036,25.68,20.2,203700.0,40448.768864177924
6.193,15.17,20.2,289800.0,46794.7682867754
5.887,16.35,20.2,266700.0,45303.21046373365
6.471,17.12,20.2,275100.0,42512.749188687994
6.405,19.37,20.2,262500.0,40983.60655737705
5.747,19.92,20.2,178500.0,31059.68331303289
5.453,30.59,20.2,105000.0,19255.45571245186
5.852,29.97,20.2,132300.0,22607.655502392343
5.987,26.77,20.2,117600.0,19642.558877568063
6.343,20.32,20.2,151200.0,23837.300961690053
6.404,20.31,20.2,254100.0,39678.32604622111
5.349,19.77,20.2,174300.0,32585.530005608525
5.531,27.38,20.2,178500.0,32272.645091303562
5.683,22.98,20.2,105000.0,18476.156959352455
5.608,12.13,20.2,585900.0,104475.74893009986
5.617,26.4,20.2,361200.0,64304.789033291796
6.852,19.78,20.2,577500.0,84281.96147110332
5.757,10.11,20.2,315000.0,54715.997915581036
6.657,21.22,20.2,361200.0,54258.675078864355
5.155,20.08,20.2,342300.0,66401.5518913676
6.434,29.05,20.2,151200.0,23500.155424308363
6.782,25.79,20.2,157500.0,23223.237982895902
5.304,26.64,20.2,218400.0,41176.470588235294
5.957,20.62,20.2,184800.0,31022.32667450059
6.824,22.74,20.2,176400.0,25849.941383352874
6.411,15.02,20.2,350700.0,54702.85446888161
6.006,15.7,20.2,298200.0,49650.34965034965
5.648,14.1,20.2,436800.0,77337.11048158641
6.103,23.29,20.2,281400.0,46108.47124365067
5.565,17.16,20.2,245700.0,44150.94339622641
5.896,24.39,20.2,174300.0,29562.415196743554
5.837,15.69,20.2,214200.0,36696.933356176116
6.202,14.52,20.2,228900.0,36907.44920993228
6.193,21.52,20.2,231000.0,37300.17761989343
6.38,24.08,20.2,199500.0,31269.59247648903
6.348,17.64,20.2,304500.0,47967.86389413989
6.833,19.69,20.2,296100.0,43333.8211620079
6.425,12.03,20.2,338100.0,52622.56809338521
6.436,16.22,20.2,300300.0,46659.41578620261
6.208,15.17,20.2,245700.0,39577.96391752577
6.629,23.27,20.2,281400.0,42449.84160506864
6.461,18.05,20.2,201600.0,31202.60021668472
6.152,26.45,20.2,182700.0,29697.659297789338
5.935,34.02,20.2,176400.0,29721.98820556024
5.627,22.88,20.2,268800.0,47769.68189088324
5.818,22.11,20.2,220500.0,37899.62186318322
6.406,19.52,20.2,359100.0,56056.82172962848
6.219,16.59,20.2,386400.0,62132.175590931016
6.485,18.85,20.2,323400.0,49868.92829606785
5.854,23.79,20.2,226800.0,38742.74000683294
6.459,23.98,20.2,247800.0,38365.07199256851
6.341,17.79,20.2,312900.0,49345.52909635704
6.251,16.44,20.2,264600.0,42329.22732362822
6.185,18.13,20.2,296100.0,47873.88843977365
6.417,19.31,20.2,273000.0,42543.24450677887
6.749,17.44,20.2,281400.0,41695.065935694176
6.655,17.73,20.2,319200.0,47963.936889556724
6.297,17.27,20.2,338100.0,53692.23439733207
7.393,16.74,20.2,373800.0,50561.3418098201
6.728,18.71,20.2,312900.0,46507.13436385256
6.525,18.13,20.2,296100.0,45379.31034482759
5.976,19.01,20.2,266700.0,44628.5140562249
5.936,16.94,20.2,283500.0,47759.43396226415
6.301,16.23,20.2,312900.0,49658.78431994921
6.081,14.7,20.2,420000.0,69067.58756783423
6.701,16.42,20.2,344400.0,51395.31413221907
6.376,14.65,20.2,371700.0,58296.73776662484
6.317,13.99,20.2,409500.0,64825.07519392116
6.513,10.29,20.2,424200.0,65131.27590971902
6.209,13.22,20.2,449400.0,72378.80496054115
5.759,14.13,20.2,417900.0,72564.6813682931
5.952,17.15,20.2,399000.0,67036.29032258065
6.003,21.32,20.2,401100.0,66816.59170414793
5.926,18.13,20.2,401100.0,67684.77894026325
5.713,14.76,20.2,422100.0,73884.12392788377
6.167,16.29,20.2,417900.0,67763.9046538025
6.229,12.87,20.2,411600.0,66078.02215443892
6.437,14.36,20.2,487200.0,75687.432033556
6.98,11.66,20.2,625800.0,89656.16045845272
5.427,18.14,20.2,289800.0,53399.668325041464
6.162,24.1,20.2,279300.0,45326.19279454723
6.484,18.68,20.2,350700.0,54086.98334361505
5.304,24.91,20.2,252000.0,47511.312217194565
6.185,18.03,20.2,306600.0,49571.54405820534
6.229,13.11,20.2,449400.0,72146.41194413228
6.242,10.74,20.2,483000.0,77379.04517782762
6.75,7.74,20.2,497700.0,73733.33333333333
7.061,7.01,20.2,525000.0,74352.07477694377
5.762,10.42,20.2,457800.0,79451.57931273864
5.871,13.34,20.2,432600.0,73684.21052631579
6.312,10.58,20.2,445200.0,70532.31939163498
6.114,14.98,20.2,401100.0,65603.53287536801
5.905,11.45,20.2,432600.0,73259.94919559694
5.454,18.06,20.1,319200.0,58525.85258525853
5.414,23.97,20.1,147000.0,27151.828592537866
5.093,29.68,20.1,170100.0,33398.78264284312
5.983,18.07,20.1,285600.0,47735.24987464483
5.983,13.35,20.1,422100.0,70549.89135885007
5.707,12.01,19.2,457800.0,80217.27702821097
5.926,13.59,19.2,514500.0,86820.78974012824
5.67,17.6,19.2,485100.0,85555.55555555556
5.39,21.14,19.2,413700.0,76753.24675324676
5.794,14.1,19.2,384300.0,66327.23507076286
6.019,12.92,19.2,445200.0,73965.77504568866
5.569,15.1,19.2,367500.0,65990.30346561322
6.027,14.33,19.2,352800.0,58536.58536585366
6.593,9.67,21.0,470400.0,71348.39981798877
6.12,9.08,21.0,432600.0,70686.27450980392
6.976,5.64,21.0,501900.0,71946.6743119266
6.794,6.48,21.0,462000.0,68001.17750956726
6.03,7.88,21.0,249900.0,41442.78606965174
